,Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,h,w,c,k,r,s,p,q,pad_h,pad_w,stride_h,stride_w,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,110,110,3,32,3,3,108,108,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,2756160,20901888,7,0.0457626,56.0911,456.746
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,110,110,3,32,3,3,108,108,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,2756160,20901888,7,0.028232,90.9207,740.362
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,110,110,3,32,3,3,108,108,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,2756160,20901888,7,0.035615,72.0728,586.884
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,110,110,3,32,3,3,108,108,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,2756160,20901888,7,0.0291632,88.0176,716.721
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,110,110,3,32,3,3,108,108,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,2756160,20901888,7,0.0310272,82.7298,673.663
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,110,110,3,32,3,3,108,108,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,2756160,20901888,7,0.0380826,67.4029,548.857
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,110,110,32,32,3,3,108,108,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,14966784,215737344,14,0.145838,95.5779,1479.29
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,110,110,32,32,3,3,108,108,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,14966784,215737344,14,0.0818483,170.302,2635.82
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,110,110,32,32,3,3,108,108,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,14966784,215737344,14,0.112783,123.59,1912.85
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,110,110,32,32,3,3,108,108,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,14966784,215737344,14,0.0858931,162.282,2511.7
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,110,110,32,32,3,3,108,108,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,14966784,215737344,14,0.0886067,157.312,2434.77
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,110,110,32,32,3,3,108,108,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,14966784,215737344,14,0.120248,115.918,1794.1
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,56,56,32,64,3,3,54,54,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,4179456,107868672,25,0.0742298,52.4375,1453.17
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,56,56,32,64,3,3,54,54,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,4179456,107868672,25,0.0475341,81.887,2269.29
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,56,56,32,64,3,3,54,54,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,4179456,107868672,25,0.0446771,87.1234,2414.41
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,56,56,32,64,3,3,54,54,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,4179456,107868672,25,0.046039,84.5461,2342.98
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,56,56,32,64,3,3,54,54,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,4179456,107868672,25,0.0570883,68.1825,1889.51
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,56,56,32,64,3,3,54,54,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,4179456,107868672,25,0.0812541,47.9043,1327.55
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,56,56,64,64,3,3,54,54,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,7612416,215364096,28,0.140954,50.2975,1527.91
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,56,56,64,64,3,3,54,54,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,7612416,215364096,28,0.0865386,81.9243,2488.65
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,56,56,64,64,3,3,54,54,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,7612416,215364096,28,0.0816845,86.7927,2636.54
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,56,56,64,64,3,3,54,54,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,7612416,215364096,28,0.0835174,84.8878,2578.67
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,56,56,64,64,3,3,54,54,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,7612416,215364096,28,0.103864,68.2584,2073.51
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,56,56,64,64,3,3,54,54,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,7612416,215364096,28,0.148449,47.7579,1450.76
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,29,29,64,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,2347776,107682048,45,0.141169,15.4888,762.788
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,29,29,64,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,2347776,107682048,45,0.0865997,25.2488,1243.45
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,29,29,64,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,2347776,107682048,45,0.0816845,26.7681,1318.27
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,29,29,64,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,2347776,107682048,45,0.0834358,26.2062,1290.6
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,29,29,64,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,2347776,107682048,45,0.104694,20.885,1028.54
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,29,29,64,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,2347776,107682048,45,0.088576,24.6854,1215.7
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,29,29,128,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,4322304,215177472,49,0.274412,14.6694,784.142
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,29,29,128,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,4322304,215177472,49,0.164567,24.4609,1307.54
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,29,29,128,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,4322304,215177472,49,0.155566,25.8762,1383.19
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,29,29,128,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,4322304,215177472,49,0.158372,25.4178,1358.69
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,29,29,128,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,4322304,215177472,49,0.19924,20.2041,1079.99
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,29,29,128,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,4322304,215177472,49,0.169472,23.7529,1269.69
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,230,230,3,64,7,7,112,112,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,10624768,237633536,22,0.195902,50.5105,1213.02
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,230,230,3,64,7,7,112,112,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,10624768,237633536,22,0.107121,92.3733,2218.37
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,230,230,3,64,7,7,112,112,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,10624768,237633536,22,0.153057,64.6496,1552.58
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,230,230,3,64,7,7,112,112,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,10624768,237633536,22,0.112691,87.8071,2108.71
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,230,230,3,64,7,7,112,112,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,10624768,237633536,22,0.129618,76.3404,1833.34
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,230,230,3,64,7,7,112,112,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,10624768,237633536,22,0.164915,60.0011,1440.94
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,16,16,256,512,3,3,7,7,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,5270528,115655680,21,0.539863,9.09223,214.232
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,16,16,256,512,3,3,7,7,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,5270528,115655680,21,0.320317,15.3241,361.066
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,16,16,256,512,3,3,7,7,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,5270528,115655680,21,0.304824,16.1029,379.418
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,16,16,256,512,3,3,7,7,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,5270528,115655680,21,0.283156,17.3352,408.451
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,16,16,256,512,3,3,7,7,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,5270528,115655680,21,0.382863,12.8207,302.081
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,16,16,256,512,3,3,7,7,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,5270528,115655680,21,0.297667,16.4901,388.541
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,9,9,512,512,3,3,7,7,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,10440704,231261184,22,1.05139,9.24837,219.957
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,9,9,512,512,3,3,7,7,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,10440704,231261184,22,0.583834,16.6549,396.108
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,9,9,512,512,3,3,7,7,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,10440704,231261184,22,0.553943,17.5535,417.482
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,9,9,512,512,3,3,7,7,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,10440704,231261184,22,0.549622,17.6916,420.764
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,9,9,512,512,3,3,7,7,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,10440704,231261184,22,0.745124,13.0497,310.366
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,9,9,512,512,3,3,7,7,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,10440704,231261184,22,0.590479,16.4674,391.65
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,64,3,3,56,56,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,8175616,231612416,28,0.140943,54.0228,1643.31
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,64,3,3,56,56,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,8175616,231612416,28,0.086487,88.0379,2678.0
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,64,3,3,56,56,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,8175616,231612416,28,0.0817562,93.1323,2832.97
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,64,3,3,56,56,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,8175616,231612416,28,0.0834461,91.2462,2775.59
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,64,3,3,56,56,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,8175616,231612416,28,0.103885,73.294,2229.51
